timestamp,anomalia_inserida,temperatura_interna_c,temperatura_externa_c,tensao_bateria_v,corrente_bateria_a,nivel_energia_percentual,capacidade_total_kwh,energia_disponivel_kwh,potencia_kw,perdas_energeticas_percentual,consumo_previsto_kwh,carga_atual_percentual,energia_restante_kwh,pressao_tanques_bar,integridade_estrutural,status_modulos_criticos,energia_perdida_kwh,energia_util_kwh,status_link_telemetria,autonomia_estimada_min,decisao_lancamento
2026-09-09 18:56:39,nao,23.24,-7.22,28.45,19.11,82.44,120,119.82,0.73,5.78,33.86,99.85,79.03,95.98,1,OK,6.93,112.89,1,6496.0,PRONTO PARA DECOLAR
2026-09-09 19:01:39,nao,31.31,28.86,26.56,12.56,89.9,120,118.66,0.61,5.54,30.99,98.88,81.1,125.66,1,OK,6.57,112.09,1,7977.0,PRONTO PARA DECOLAR
2026-09-09 19:06:39,nao,28.25,23.63,27.17,10.98,80.69,120,119.64,0.47,6.66,30.03,99.7,81.64,128.04,1,OK,7.97,111.67,1,10422.0,PRONTO PARA DECOLAR
2026-09-09 19:11:39,nao,26.38,0.07,27.47,24.23,98.19,120,119.36,0.33,5.71,34.08,99.47,78.46,118.06,1,OK,6.82,112.54,1,14265.0,PRONTO PARA DECOLAR
2026-09-09 19:16:39,nao,20.18,-1.09,27.82,24.48,85.18,120,117.59,0.46,5.56,33.53,97.99,77.52,128.55,1,OK,6.54,111.05,1,10111.0,PRONTO PARA DECOLAR
2026-09-09 19:21:39,nao,20.18,-1.03,29.14,22.13,93.25,120,119.53,0.46,6.09,33.65,99.61,78.6,114.69,1,OK,7.28,112.25,1,10252.0,PRONTO PARA DECOLAR
2026-09-09 19:26:39,nao,18.81,3.56,26.8,14.57,86.23,120,114.53,0.66,5.28,33.86,95.44,74.62,116.14,1,OK,6.05,108.48,1,6784.0,PRONTO PARA DECOLAR
2026-09-09 19:31:39,nao,30.13,11.94,28.06,11.47,90.4,120,115.18,0.62,6.6,30.37,95.98,77.21,111.38,1,OK,7.6,107.58,1,7472.0,PRONTO PARA DECOLAR
2026-09-09 19:36:39,sim,26.42,8.41,28.37,20.26,90.93,120,114.28,0.74,5.15,31.79,95.23,76.6,187.55,1,OK,5.89,108.39,1,6211.0,DECOLAGEM ABORTADA
2026-09-09 19:41:39,nao,27.91,3.07,26.19,16.6,83.7,120,115.96,0.54,6.97,30.58,96.63,77.3,95.39,1,OK,8.08,107.88,1,8589.0,PRONTO PARA DECOLAR
